.,English
Event_NOCHE2_SIN_COLLAR.button1,Continue
Token_Puerta_Habitaciones1.button1,Botón1
Event_FALLAS2_PORTAL_DENNIS.text,"You try again to destroy the portal but Denise pushes you hard to one side. \n\n Suffer 1 facedown Damage."
Event_FALLAS1_PORTAL_BOBBY.text,You reach for the small statue next to the doorway, but Bobby steps forward and gets in your way.
Event_FALLAS1_PORTAL_DENNIS.button1,Continue
Event_FALLAS1_PORTAL_BOBBY.button1,Continue
Event_FALLAS2_PORTAL_BOBBY.text,"You try again to destroy the portal but Bobby pushes you hard to one side. \n\n Suffer 1 facedown Damage."
Event_FALLAS2_PORTAL_BOBBY.button1,Continue
Token_Puerta_Cerrada_Bobby.button1,Continue
Token_Puerta_Cerrada_Bobby.text,For the moment, keep the door closed to avoid being discovered.
Event_AGARRAS_FIGURA.button1,Continue
Event_AGARRAS_FIGURA.text,"You grab the small statue in the corner of the doorway, but with her eyes rolling Denise grabs your arm with extreme force.({agility}:2) \n\n If you pass, you give her a hard slap that causes her to release your arm. If you fail, you feel an unbearable burning in your arm as her fingers soak into your skin. Suffer 2 facedown Damage."
Event_BOBBY_CASI_MUERE.button1,Help Bobby
Event_BOBBY_CASI_MUERE.button2,Pull the statue harder
Event_BOBBY_CONTRA_DENNIS.button1,Help Denise
Event_BOBBY_CONTRA_DENNIS.button2,Back off
Event_BOBBY_CONTRA_DENNIS.text,|||Grabbing Denise by the neck, Bobby orders you to move back so as to avoid hindering his plans. \n <color=cyan><i> "If you try to stop me, I'll kill your friend!" </i> </color> \n\n Perhaps you should do as he asks for Denise's sake, but on the other hand, if you don't close the portal as soon as possible, more creatures could enter this world.|||
Event_BOBBY_MUERE2.button1,Continue
Event_BOBBY_MUERE2.text,"Resolutely, you pull the statue with greater force than before, getting it off the ground. You decide to quickly put it in your pocket to keep it safe. \n\n Finally, you hear some gurgling sounds as Bobby collapses on the ground. \n Denise had killed him."
Event_CASI_MUERE_DENNIS.button1,{success}
Event_CASI_MUERE_DENNIS.button2,{clue}
Event_CASI_MUERE_DENNIS.button3,Empty face
Event_COLOCA_HABITACIONES1.button1,Continue
Event_COLOCA_HABITACIONES1.text,Place the <color=#e3b529>{c:Tile_Habitaciones}</color> Tile and the <b>Shelf</b> token as indicated.
Event_COLOCA_HABITACIONES2.button1,Continue
Event_COLOCA_HABITACIONES2.text,Place the <color=#e3b529>{c:Tile_Habitaciones}</color> Tile and the <b>Shelf</b> token as indicated.
Event_Control1_Portal_Romance.button1,{action} Destroy
Event_Control1_Portal_Romance.button2,Cancel
Event_Control1_Portal_Romance.text,Holding hands, Denise and Bobby are engrossed in the knowledge that the portal's power gives them. Perhaps you should take the opportunity to try to destroy it {will}.
Event_Control2_Portal_Romance.button1,Continue
Event_Control2_Portal_Romance.text,You can't stop Denise as long as Bobby keeps getting in your way.
Event_Control3_Pasillo3.button1,<color=red>{success}</color> {success} <color=green>{success}</color>
Event_Control3_Pasillo3.button2,<color=blue>{success}</color> <color=yellow>{success}</color> <color=red>{success}</color>
Event_Control3_Pasillo3.button3,<color=fuchsia>{success}</color> <color=yellow>{success}</color> {success}
Event_Control3_Pasillo3.button4,<color=orange>{success}</color> <color=red>{success}</color> <color=blue>{success}</color>
Event_Control3_Pasillo3.button5,<color=red>{success}</color> <color=orange>{success}</color> <color=blue>{success}</color>
Event_Control3_Pasillo3.button6,<color=blue>{success}</color> <color=orange>{success}</color> <color=red>{success}</color>
Event_Control3_Pasillo3.button7,<color=green>{success}</color> <color=yellow>{success}</color> <color=red>{success}</color>
Event_Control3_Pasillo3.button8,Cancel
Event_Control3_Pasillo3.text,"This door leads to the outside, leading to a small dock by the river. \n For the past two days you have not been able to go outside the hotel for fear of being seen. But someone may be in danger. \n\n To open the door you need to dial the code correctly. \n\n <b> Note:</b> You spend 1 action {action} for each option you choose from the following."
Event_Control3_Portal.button1,{action} Help her
Event_Control3_Portal.button2,Cancel
Event_Control3_Portal.text,|||<color=cyan><i> "Destroy the small figure to close the portal!"</i> </color>, Bobby yells at you in desperation. \n\n Denise seems to be absorbed by the energy coming out of that portal.({strength}: 2)|||
Event_Control4_Pasillo3.button1,<color=red>{success}</color> {success} <color=green>{success}</color>
Event_Control4_Pasillo3.button2,<color=blue>{success}</color> <color=yellow>{success}</color> <color=red>{success}</color>
Event_Control4_Pasillo3.button3,<color=fuchsia>{success}</color> <color=yellow>{success}</color> {success}
Event_Control4_Pasillo3.button4,<color=orange>{success}</color> <color=red>{success}</color> <color=blue>{success}</color>
Event_Control4_Pasillo3.button5,<color=red>{success}</color> <color=orange>{success}</color> <color=blue>{success}</color>
Event_Control4_Pasillo3.button6,<color=blue>{success}</color> <color=orange>{success}</color> <color=red>{success}</color>
Event_Control4_Pasillo3.button7,<color=green>{success}</color> <color=yellow>{success}</color> <color=red>{success}</color>
Event_Control4_Pasillo3.button8,Cancel
Event_Control4_Pasillo3.text,"This door leads outside, leading to a small dock by the river. \n\n To open the door you need to dial the code correctly. \n\n <b> Note:</b> You spend 1 action {action} for each option you choose from the following."
Event_DECISION_BOBBY1.button1,Take him to Arkham
Event_DECISION_BOBBY1.button2,Left him die
Event_DECISION_BOBBY1.text,"Distressed, you approach Bobby's body, hoping to notice some sign of life in him. \n To your surprise, he was unconscious and in critical condition, but he was still alive despite the severe blow to his head. \n\n You stop to think about the times you have spent with him. He was always very attentive and kind to you. He treated you well right to the end, and you could not forget that he helped you to get out of that hell of a life you had. \n But on the other hand, Bobby has betrayed your trust and played with your feelings. After opening that portal, he may never be the same again. \n\n It is time to make a decision. \n If you decide to save him, you plan to take him to Arkham Asylum where you believe they will be able to cure his madness."
Event_DECISION_BOBBY2.button1,Take him to Arkham
Event_DECISION_BOBBY2.button2,Left him die
Event_DECISION_BOBBY2.text,"Distressed, you approach Bobby's body, hoping to notice some sign of life in him. \n To your surprise, he was unconscious and in critical condition, but still alive despite the severe blow to his head. \n\n You stop to think about the times you have spent with him. He was always very attentive and kind to you. He treated you well right to the end, and you couldn't forget that he helped you get out of that hell of a life you had. \n But on the other hand, Bobby has betrayed your trust and played with your feelings. After opening that portal, he may never be the same again. \n\n It is time to make a decision. \n If you decide to save him, you plan to take him to Arkham Asylum because you believe they can cure his madness."
Event_DECISION_DENNIS_ROMANCE.button1,Take her to Arkham
Event_DECISION_DENNIS_ROMANCE.button2,Finish her
Event_DECISION_DENNIS_ROMANCE.text,"Thousands of memories with her remind you of all the time she was there for you when no one else was, and that was something you would never forget. \n\n If you decide to save her, you plan to take her to Arkham Asylum because you believe they will be able to help her treat her madness. \n But on the other hand, Denise has betrayed your trust and played you all this time. After opening that portal, she may never be the same as she was before."
Event_DECISION_DENNIS2.button1,Take her to Arkham
Event_DECISION_DENNIS2.button2,Left her die
Event_DECISION_DENNIS2.text,"Distressed, you approach Denise's body, hoping to notice some sign of life in her. \n To your surprise, she was unconscious and in critical condition, but still alive despite the severe blow to her head. \n\n Thousands of memories come to your mind of the person you once thought of as your sister. For a long time, she was there for you when no one else was, and that was something you could never forget. \n\n But it was time to make a decision. \n If you decide to save her, you plan to take her to Arkham Asylum because you think they can cure her madness. \nBut on the other hand, Denise has betrayed your trust and fooled you all this time. After opening that portal, she may never be the same again."
Event_DECISION1_DENNIS1.button1,Take her to Arkham
Event_DECISION1_DENNIS1.button2,Left her die
Event_DECISION1_DENNIS1.text,"Distressed, you approach Denise's body, hoping to notice some sign of life in her. \n To your surprise, she was unconscious and in critical condition, but still alive despite the severe blow to her head. \n\n Thousands of memories come to your mind of the person you once thought of as your sister. For a long time, she was there for you when no one else was, and that was something you could never forget. \n\n But it is time to make a decision. \n If you decide to save her, you plan to take her to Arkham Asylum because you think they can cure her madness. \n But on the other hand, Denise has betrayed your trust and fooled you all this time. After opening that portal, she may never be the same again."
Event_DECISION2_DENNIS1.button1,Take her to Arkham
Event_DECISION2_DENNIS1.button2,Left her die
Event_DECISION2_DENNIS1.text,"Dismayed, you approach Denise's body, hoping to notice some sign of life in her. \n To your surprise, she was unconscious and in critical condition, but still alive despite the severe blow to her head. \n\n Thousands of memories come to your mind of the person you once thought of as your sister. For a long time, she was there for you when no one else was, and that was something you could never forget. \n\n But it was time to make a decision. \n If you decide to save her, you plan to take her to Arkham Psychiatric Hospital because you believe they can help her cure her madness. \n But on the other hand, you think that after she has opened that portal she will never be the same again."
Event_DERROTAS_BOBBY_ROMANCE.button1,Continue
Event_DERROTAS_BOBBY_ROMANCE.text,"You give him the final blow and he collapses to the ground. A trickle of blood runs down from Bobby's skull into the river. You couldn't believe what you were seeing. \n Now all that was left was to finish the job. \n\n Remove the Cultist."
Event_DERROTAS_BOBBY2.button1,Continue
Event_DERROTAS_BOBBY2.text,"You give him the final blow and he collapses to the ground. A trickle of blood runs down from Bobby's skull into the river. You couldn't believe what you were seeing. \n Now the only thing left is to complete the job. \n\n Remove the Cultist."
Event_DERROTAS_DENNIS_ROMANCE.button1,Continue
Event_DERROTAS_DENNIS_ROMANCE.text,"Again you were in the same situation as before, but this time with someone you considered a sister. \n This time you chose to hit her hard in the back, an act which caused Denise to fall to the ground in pain. \n\n It was certainly a good time to decide what to do with her. \n\n Remove the Cultist."
Event_DERROTAS_PROFUNDO1.button1,Botón1
Event_DERROTAS_PROFUNDO2.button1,Botón1
Event_DESCUBRES_BOBBY.button1,Continue
Event_DESCUBRES_BOBBY.text,"You peek carefully through the small crack in the door to discover Bobby peering through a small hole in the wall. \n You know that on the other side is the hotel bathroom. \n\n As he does so, Bobby fiddles with his body, staring at the person behind the wall. \n Seeing this repulsive image makes you want to vomit. Suffer 2 face down Damage ({will} negates). \n\n Place the <color=#e3b529>{c:Tile_Room3}</color> Tile, the <b> bookshelf</b> token and the <color=cyan><i> Bobby Foster</i> </color> Person token as indicated."
Event_DONDE_ESTAN_ROMANCE.button1,Continue
Event_DONDE_ESTAN_ROMANCE.text,|||<i> "Where are Denise and Bobby? I can't believe they would fool around with me like this.|||
Event_DUCHA_DIA3.button1,Continue
Event_DUCHA_DIA3.text,|||After hearing the sound of water, you knock several times on the bathroom door, hoping to get a response. \n "Denise? Bobby? When you finish your shower, please let me know." \n\n You get no response to your request.|||
Event_FALLAS1_PORTAL_ROMANCE.button1,Continue
Event_FALLAS1_PORTAL_ROMANCE.text,You try to grab the small statue next to the portal, but Denise steps forward and gets in your way.
Event_FALLAS2_PORTAL_ROMANCE.button1,Continue
Event_FALLAS2_PORTAL_ROMANCE.text,"You try again to destroy the portal but Denise pushes you hard to one side. \n\n Suffer 1 face down Damage."
Event_FALLAS3_PORTAL_ROMANCE.button1,Continue
Event_FALLAS3_PORTAL_ROMANCE.text,"You try again to destroy the portal but they both push you harder to one side. \n\n Suffer 2 face down Damage."
Event_FOTOS_BOBBY_DENNIS.button1,Continue
Event_FOTOS_BOBBY_DENNIS.text,"You shout nasty things at Bobby, getting him to stop what he was doing. He becomes both flustered and shocked to see you there. \n\n As you enter the room you notice an endless array of erotic photographs of Bobby and Denise. Most of these photos are taken in private areas and rooms of the club, and a few of them show them naked in the same hotel bed that Bobby sleeps in. \n\n Still exhausted, you angrily ask Bobby for explanations, but he doesn't know how to respond. \n\n Due to the turmoil of the moment, you didn't hear Denise's footsteps coming towards the room."
Event_GRITOS.button1,Continue
Event_GRITOS.text,You hear deafening screams from behind the door leading to the river.
Event_HAB_BOBBY_ABIERTA.button1,{success}
Event_HAB_BOBBY_ABIERTA.button2,{clue}
Event_HAB_BOBBY_ABIERTA.button3,Empty face
Event_HAB_BOBBY_ABIERTA.text,|||On your way to your room, you notice that the door to Bobby's room is slightly open and there is a soft tinkle of light. \n\n <i> "I will peek in and look around very carefully" </i> \n\n Place your <b> Investigator</b> as indicated. \n\n <b> Note:</b> roll 1 die and mark the result of your roll. You cannot exchange magnifying glasses for successes.|||
Event_HUYES_BOSQUE4.button1,Continue
Event_HUYES_BOSQUE4.text,|||When you return to the hotel, you pick up your pendant and the small statue, causing the portal to close completely. No more creatures were going to enter this world, not while the portal was still closed, and the only two keys to open it were in your possession. \n\n <i> "I must protect this statue and the pendant my mother gave me at all costs. If they fall into the wrong hands again, it would be a disaster."</i>|||
Event_HUYES_BOSQUE5.button1,Continue
Event_HUYES_BOSQUE5.text,|||You pick up your pendant, causing the portal to close completely. No more creatures were going to enter this world, not while the portal was still closed, and the only two keys to open it were in your possession. \n\n <i> "I must protect this statue and the necklace my mother gave me at all costs. If they fall into the wrong hands again it would be a disaster" </i>|||
Event_LLEVAS_BOBBY1_ARKHAM.button1,Continue
Event_LLEVAS_BOBBY1_ARKHAM.text,"You grab the car keys that Bobby, still unconscious, had on him and struggle to get him into the front seat of the car. \n On the way to Arkham you try not to dwell on what you were doing until you finally arrive at your destination. \n\n Making sure no one sees you, you leave Bobby by the front door of Arkham Asylum, leaving a farewell note. \n\n Once again, you get back into the car and head for the Foster Hotel, as you still have other business to deal with."
Event_LLEVAS_DENNIS_ARKHAM_ROMANCE.button1,Continue
Event_LLEVAS_DENNIS_ARKHAM_ROMANCE.text,"You grab the car keys that Bobby had with him \n and struggle up to Denise. \n On the way to Arkham, you try not to dwell on what you were doing, until you finally arrive at your destination. \n\n Making sure no one sees you, you leave Denise by the front door of the Arkham Asylum, leaving a farewell note. \n\n Once again, you get into the car and head for Foster's hotel, as you still have other business to deal with."
Event_LLEVAS_DENNIS1_ARKHAM.button1,Continue
Event_LLEVAS_DENNIS1_ARKHAM.text,"You take the car keys that Bobby, still unconscious, had with him and struggle up to Denise. \n On the way to Arkham you try not to dwell on what you were doing until you finally arrive at your destination. \n\n Making sure no one sees you, you leave Denise by the front door of Arkham Asylum, leaving a farewell note. \n\n You get back into the car and head for the Foster's hotel, as you still have other business to deal with."
Event_LLEVAS_DENNIS2_ARKHAM.button1,Continue
Event_LLEVAS_DENNIS2_ARKHAM.text,"You take the car keys that Bobby had with him \n and with great effort you get into the car with Denise. \n On the way to Arkham you try not to dwell on what you were doing until you finally arrive at your destination. \n\n Making sure no one sees you, you leave Denise by the front door of the Arkham Asylum, leaving a farewell note. \n\n Again, you get back into the car and head for the Foster's hotel, as you still have other business to deal with."
Event_MATAS_DENNIS_ROMANCE.button1,Continue
Event_MATAS_DENNIS_ROMANCE.text,"You hit Denise in the head with all your might. A trail of blood stains the floor of the docks back to the river. \n\n With a great sense of guilt, you cover Denise's lifeless body with a small tarpaulin. You had to leave the woman you had once considered a great friend in that cold, damp place."
Event_MIRAS_HAB_BOBBY.button1,Continue
Event_MIRAS_HAB_BOBBY.text,"This room is slightly larger than the rest of the hotel. It also has no dust on the furniture and is much better decorated. \n\n Place the <color=yellow><i> Search</i> </color>and <color=red><i> Explore</i> </color>tokens as indicated."
Event_MONSTRUOS_PORTAL1.text,Through him, horrific creatures identical to those described in the old book also plunge.
Event_MONSTRUOS_PORTAL2.button1,Continue
Event_MUELLES_ROMANCE.button1,Continue
Event_MUELLES_ROMANCE.text,"Both Bobby and Denise belong to a cult that worships powerful Gods from other universes, as described in the ancient book.\n\n\n Place the <color=#e3b529>{c:Tile_Muelle}</color> and <color=#e3b529>{c:Tile_Pasillo3}</color> Tiles, the <color=blue><i>Interaction</i></color> token (it represents Bobby and Denise in front of the portal), and your Investigator <b>Wendy Adams</b> as indicated."
Event_MUERE_BOBBY1.button1,Continue
Event_MUERE_BOBBY1.text,With a heavy heart, you cover Bobby's lifeless body with a small tarpaulin. You had to leave on that cold, wet dock the only person for whom you had ever had deeper feelings than for anyone else.
Event_MUERE_DENNIS.text,"Hastily, you try to grab Denise's arm but only succeed in getting Bobby to grab her by the neck with far more force than before. Soon Denise's face begins to bruise from lack of air, and within seconds she is suffocating on the cold ground by the river. \n\n You cry out in pain and despair at the sight of the lifeless body of the person you thought of as your sister. \n You could no longer do anything to save her. \n\n Suffer 2 Horror ({will}-1 negates)."
Event_MUERE_DENNIS1.button1,Continue
Event_MUERE_DENNIS2.button1,Continue
Event_MUERE_DENNIS2.text,With great pain, you cover Denise's lifeless body with a small tarpaulin. You had to leave the person you once considered a great friend in that cold, damp place.
Event_PALANCA1.button1,Continue
Event_PALANCA2.text,"Some of the objects that you didn't care about before now seem more useful for some reason. \n\n Place the <b>Crowbar </b> Common Item as indicated. \n You may move 1 or 2 spaces into the explored area."
Event_Prueba_Collar_Dennis1.button1,Continue
Event_Prueba_Collar_Dennis1.text,You give Denise the pendant.
Event_Prueba_Collar_Dennis2.button1,Continue
Event_Prueba_Collar_Dennis2.text,You don't give Denise the pendant.
Event_PRUEBAS.button1,Continue
Event_PRUEBAS.text,Scenario test.
Event_RECHAZAS_BOBBY_SIN_COLLAR.text,|||Disappointed, Bobby disappears from your room, leaving you with this sentence: \n <color=aqua><i> "We all make mistakes, Wendy. Remember you can trust me."</i> </color>.|||
Event_RETROCEDES_DENNIS.button1,Continue
Event_RETROCEDES_DENNIS.text,"You slowly back away, causing Bobby to let go of Denise, who falls to the ground unconscious. \n\n In a small distraction from Bobby, you quickly grab the statue on the ground, causing the portal to close completely."
Event_SALVAS_DENNIS.button1,Continue
Event_SALVAS_DENNIS.text,"You quickly grab the statue off the ground, causing the portal to close. Bobby suddenly releases Denise in an attempt to stop you, but doesn't get there in time. \n\n You notice that Denise is unconscious. \n You manage to save her for the moment."
Event_TE_GOLPEA_DENNIS.button1,Continue
Event_TE_GOLPEA_DENNIS.text,"Denise had just given you a good blow on the head. You fell unconscious for a few hours. \n\n ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ \n\n You wake up on Bobby's bed tied hand and foot with some old ropes. You also see that your pendant has been stolen. There was no one else in the room with you. \n\n <b> Note:</b> Move your <b> Investigator</b> as indicated. \n Discard the Elder Sign Pendant Common item. \n Remove the Bobby Foster Person token. \n\n You attempt to move from side to side by tearing the ropes with the bed head ({agility}-1: 2). If you pass, you manage to get the old ropes to unravel without any trouble. If you fail, forcing your skin against the ropes causes several small burns on your arms and legs. Suffer 1 face down Damage, but manage to get rid of the ropes."
Event_TUBERIA1.text,"Some of the objects that you didn't care about before now seem more useful for some reason. \n\n Place the <b> Lead pipe</b> Common Item as indicated. \n You may move 1 or 2 spaces into the explored area."
Event_VES_FOTOS.button1,Continue
Event_VES_FOTOS.text,|||Several romantic photographs between Denise and Bobby cover most of the wall. \n\n <i> "How could they trick me like this?" </i> \n\n Gain <color=green><b> 1 Clue {clue}</b> </color>. \n Remove the Search token.|||
Event_ZARANDEAS_DENNIS.button1,Continue
Event_ZARANDEAS_DENNIS.text,"Ignoring Bobby's advice, you shake Denise's shoulders in anguish, but all you get is a strong grip on your arm.({agility}:2) \n\n If you pass, you slap her hard enough to make her let go of your arm. If you fail, you feel an unbearable burning in your arm as her fingers soak into your skin. Suffer 2 face down Damage. \n\n You can't understand where she got this strength from. It's as if she's possessed by a demon."
Spawn_Bobby_Romance.button1,Continue
Spawn_Bobby_Romance.text,"Bobby stands between you and Denise, letting Denise recite an ancient verse while holding your pendant in her hand. \n\n Place the <b> Cultist</b> as indicated ( it represents Bobby)."
Spawn_BOBBY1.text,|||<color=aqua><i>"You meddling fool! I won't let you stand in the way of my plans!"</i></color> \n A blinding light comes from the necklace Bobby is holding in his hand. \n\n Place the <b>Cultist</b> as indicated. \n Remove the Interaction token.|||
Spawn_BOBBY2.button1,Continue
Spawn_BOBBY2.text,|||<color=aqua><i> "You meddling fool! I won't let you get in the way of my plans!" </i> </color>A blinding light comes from the necklace Bobby holds in his hand. \n\n Place the <b> Cultist</b> figure in the appropriate place. \n Remove the interaction token.|||
Spawn_Dennis_Romance.button1,Continue
Spawn_Dennis_Romance.text,"An angry shout from Denise echoes across the dock. \n She was determined to avenge Bobby's death and end the ritual. \n\n Place a <b> Cultist</b> as indicated (it represents Denise). \n Remove the Interaction token."
Spawn_Profundo1.text,"A new monster emerges from the portal you failed to close. \n\n Place a <b> Deep One</b> as indicated."
Spawn_Profundo2.button1,Continue
Token_DENNIS.button1,Give Denise the pendant
Token_DENNIS.button2,Keep the pendant.
Token_DENNIS.text,Test Denise's decisions?
Token_Fotos_Dennis_Bobby.button1,{action} Exam
Token_Fotos_Dennis_Bobby.text,All over the wall are endless photographs.
Token_Portal_Romance.button1,Botón1
UI_Continuar4.button1,Continue
UI_Continuar6.button1,Botón1
UI_Continuar7.button1,Botón1
UI_Texto_Con_Bobby.uitext,"After waiting for Bobby to wake up, you gather your belongings and walk along a small trail through the forest. \n Bobby has proved himself to be by your side at all times \n and for this, you will always be grateful to him. \n\n After several hours of walking, you decide to set up camp inside a cave and light a small fire to keep out the cold. \n\n You feel so comforted by his side that you decide to confess your \n true feelings to Bobby, who responds \n with a warm gesture by the fire. \n\n <color=green><i> You've successfully won the game</i> </color> \n\n -THE END-"
UI_Texto_Entierro_Dennis.uitext,"As you return to the Foster Hotel, you pick up one of the shovels and dig a hole large enough to hide the body of the man who was your escape guide a few days ago. \n After covering the body, you cut one of the large white roses that were hidden in the undergrowth and left it on the mound of earth you had just made. \n\n You had no tears left to cry. \n The shock has been so strong that you didn't even recognize yourself."
UI_Texto_Final_Con_Dennis.uitext,"After waiting for Denise to wake up, you gather your belongings and walk along a small trail \n that leads into the forest. \n Denise has shown herself to be by your side at all times \n and for this, you will always be grateful to her. \n\n \n Holding her hands, you make her promise that she will never be separated from you and that she will always be with you, just as you will be with her. \n Denise nods in response with a warm embrace under the trees. \n\n <color=green><i> You've succeeded in winning the game</i> </color> \n\n -THE END-"
UI_Texto_Romance.uitext,It was too late. Bobby and Denise had already opened a massive portal from which a mesmerizing, bright, hypnotic light was pouring through their eyes.
